months,value
31.9 ,38.64 
31.9 ,38.82 
31.9 ,37.44 
32.0 ,37.99 
32.0 ,37.20 
32.0 ,37.35 
32.1 ,37.30 
32.1 ,37.43 
32.1 ,37.42 
32.2 ,37.17 
32.2 ,37.53 
32.2 ,37.75 
32.3 ,38.05 
32.3 ,38.06 
32.3 ,37.15 
32.4 ,37.45 
32.4 ,36.68 
32.4 ,37.68 
32.5 ,38.52 
32.5 ,38.58 
32.5 ,38.58 
32.6 ,38.72 
32.6 ,37.95 
32.6 ,38.29 
32.7 ,38.94 
32.7 ,22.85 
32.7 ,22.85 
32.8 ,22.85 
32.8 ,21.14 
32.8 ,21.83 
32.9 ,21.84 
32.9 ,21.90 
32.9 ,22.03 
33.0 ,22.00 
33.0 ,22.00 
33.0 ,22.04 
33.1 ,22.00 
33.1 ,22.86 
33.1 ,22.29 
33.1 ,22.80 
33.2 ,22.81 
33.2 ,22.81 
33.2 ,22.94 
33.3 ,22.18 
33.3 ,22.79 
33.3 ,23.70 
33.4 ,24.49 
33.4 ,24.54 
33.4 ,24.54 
33.5 ,25.07 
33.5 ,26.34 
33.5 ,24.75 
33.6 ,24.39 
33.6 ,24.18 
33.6 ,24.12 
33.7 ,24.12 
33.7 ,24.84 
33.7 ,24.44 
33.8 ,23.91 
33.8 ,24.02 
33.8 ,25.05 
33.9 ,25.02 
33.9 ,25.02 
33.9 ,24.56 
34.0 ,23.78 
34.0 ,24.39 
34.0 ,24.27 
34.1 ,24.71 
34.1 ,24.73 
34.1 ,24.73 
34.2 ,24.63 
34.2 ,24.78 
34.2 ,23.99 
34.3 ,24.45 
34.3 ,24.47 
34.3 ,24.43 
34.4 ,24.43 
34.4 ,24.81 
34.4 ,25.69 
34.5 ,25.62 
34.5 ,25.94 
34.5 ,25.80 
34.6 ,25.83 
34.6 ,25.83 
34.6 ,26.54 
34.7 ,25.72 
34.7 ,26.08 
34.7 ,25.72 
34.8 ,26.42 
34.8 ,26.43 
34.8 ,26.43 
34.9 ,25.84 
34.9 ,25.53 
34.9 ,27.18 
35.0 ,27.18 
35.0 ,27.26 
35.0 ,27.25 
35.1 ,27.25 
35.1 ,27.71 
35.1 ,26.88 
35.2 ,27.25 
35.2 ,28.15 
35.2 ,28.42 
35.3 ,28.40 
35.3 ,28.40 
35.3 ,28.20 
35.4 ,28.10 
35.4 ,27.78 
35.4 ,27.80 
35.4 ,29.01 
35.5 ,28.99 
35.5 ,28.99 
35.5 ,29.15 
35.6 ,28.36 
35.6 ,28.10 
35.6 ,28.51 
35.7 ,27.81 
35.7 ,27.30 
35.7 ,27.42 
35.8 ,27.42 
35.8 ,28.72 
35.8 ,28.71 
35.9 ,28.33 
35.9 ,28.82 
35.9 ,28.67 
36.0 ,29.18 
36.0 ,29.12 
36.0 ,29.06 
36.1 ,29.00 
36.1 ,29.29 
36.1 ,29.56 
36.2 ,29.59 
36.2 ,29.92 
36.2 ,29.82 
36.3 ,30.00 
36.3 ,30.55 
36.3 ,31.76 
36.4 ,32.64 
36.4 ,32.64 
36.4 ,32.64 
36.5 ,35.46 
36.5 ,35.46 
36.5 ,35.52 
36.6 ,35.29 
36.6 ,34.25 
36.6 ,34.25 
36.7 ,34.25 
36.7 ,33.11 
36.7 ,34.25 
36.8 ,33.68 
36.8 ,33.80 
36.8 ,33.80 
36.9 ,33.80 
36.9 ,33.80 
36.9 ,33.11 
37.0 ,31.61 
37.0 ,32.19 
37.0 ,33.91 
37.1 ,35.29 
37.1 ,35.29 
37.1 ,35.29 
37.2 ,33.91 
37.2 ,33.34 
37.2 ,32.88 
37.3 ,32.07 
37.3 ,29.43 
37.3 ,29.43 
37.4 ,29.43 
37.4 ,30.35 
37.4 ,29.08 
37.5 ,29.08 
37.5 ,29.43 
37.5 ,24.96 
37.6 ,24.96 
37.6 ,24.96 
37.6 ,24.16 
37.7 ,24.96 
37.7 ,25.19 
37.7 ,25.42 
37.7 ,25.42 
37.8 ,25.42 
37.8 ,25.31 
37.8 ,24.96 
37.9 ,25.08 
37.9 ,24.85 
37.9 ,25.54 
38.0 ,25.54 
38.0 ,25.54 
38.0 ,25.88 
38.1 ,26.11 
38.1 ,25.88 
38.1 ,26.80 
38.2 ,27.26 
38.2 ,27.26 
38.2 ,27.26 
38.3 ,27.15 
38.3,28.53
